"Item type","Authors","Title","Journal","Publication year","Volume","Pages","Date published","ISBN","URLs","DOI","Abstract"
"Book","Monitor G,Elam A,Baumer B,Schøtt T,Samsami M,Dwivedi A,Rico B,Guerrero M,Boutaleb F,Hughes K","GEM 2021/22 Women’s Entrepreneurship Report: From Crisis to Opportunity","","2022","","","11 2022","","","","This year’s report highlights several compelling findings from GEM 2021/22 data, from gender composition of high-potential startups to pandemic impacts and national expert ratings of the enabling environment for women entrepreneurs. Women tend to be somewhat less active globally than men when it comes to startup activity (on average, 10.4% of women surveyed versus 13.6% of men). In other words, women represent two out of every five early-stage entrepreneurs that are active globally. Also noteworthy are some other sometimes counter-intuitive findings: • Globally, women represent about one in three high-growth entrepreneurs and one in three innovation entrepreneurs that are focused on national and international markets. • Women entrepreneurs in upper–middle-income countries represent some of the most innovative, high-growth entrepreneurs globally, and are at parity with men with regard to international market focus. • As a result of the COVID-19 pandemic, women experienced similar declines to men in entrepreneurial intentions (to start a business) but sharper declines in startup rates in 2020. However, this was not the case in upper–middle-income countries, where both startup intentions and rates for women actually rose, by 4% and 11%, respectively, from 2019 to 2021. • Overall, business exit rates for women rose from 2.9% to 3.6% over the two-year pandemic period, in contrast to the higher rates for men (3.5% to 4.4%). Women in upper–middle-income countries showed the largest pandemic impact on business exit with a 74% increase from 2019 to 2021, compared to only 34% for men. • National experts generally rate the enabling environment for women entrepreneurs very low in most countries. This may explain the persistence of lower entrepreneurial perceptions for women compared to men in these countries. Countries with the highest expert ratings also experienced the highest levels of entrepreneurial intentions. This report offers a trend analysis of women’s entrepreneurship in 50 countries, five global regions and three national income levels. We focus on four key themes in the first half of the report, followed by a closer analysis of region- and country-specific patterns in the second half. The four themes are (1) gender differences in rates at various points in the entrepreneurial lifecycle, from intentions through to startup activity, new business, established business and business exit; (2) gender differences"
"Journal Article","Yerzhanova AM,Ashirbekova LZ","THE ROLE OF SOCIAL ENTREPRENEURSHIP IN A PANDEMIC","Statistika, učet i audit","2022","87","37-48","12 2022","","http://dx.doi.org/10.51579/1563-2415.2022-4.04","10.51579/1563-2415.2022-4.04","The purpose of the study is to study the development of social entrepreneurship as an effective tool in solving social problems arising in the context of the COVID-19 pandemic. The paper identifies the problems of social entrepreneurship development in the context of the COVID-19 pandemic, analyzes the requirements and the process of inclusion in the register of social entrepreneurship entitiesin accordance with thelegislation from January 1 of this year. Social enterprise in Kazakhstan, although a new phenomenon that has not been fully reflected in theoretical societies, empirical research, and public policy, is widely used in foreign practice as a tool for the development of the social sphere. And in the future, it is proved that this type of entrepreneurship allows solving many social problems, providing employment and removing the dependence of many target groups on state aid."
"Journal Article","Pereira Y,Sousa P,Alves A,Regina E,Monte W","Perception of entrepreneurship as alternative to facing the post-pandemic crisis","Revista de Gestão e Secretariado","2023","14","893-902","01 2023","","http://dx.doi.org/10.7769/gesec.v14i1.1560","10.7769/gesec.v14i1.1560","This article aims to identify the perception of a group of incubated projects about the importance of entrepreneurship as alternative to face the economic crisis due to the new coronavirus pandemic. Entrepreneurship is a transversal subject to many areas of research and has been the object of study within themes such as economic, technological and innovation. The crisis in several sectors caused by the pandemic of the new coronavirus, raised other research possibilities. With a qualitative approach and through the case study method, using a structured questionnaire, it sought to investigate a group of companies/projects incubated in a technology-based business incubator, in the municipality of Mossoró in the state of Rio Grande do Norte. With the results, it was possible to verify that incubated have a positive perception about the importance of entrepreneurship in facing the crisis, thus pointing out that it is an alternative for the post-pandemic crisis period."
"Journal Article","Petersen R,William L,Shatner S,Ogleby A","Scalable Green Entrepreneurship in the Post- COVID-19 Pandemic World: The Australasian Case","Asian Journal of Economics, Business and Accounting","2021","","14-23","12 2021","","http://dx.doi.org/10.9734/ajeba/2021/v21i2330529","10.9734/ajeba/2021/v21i2330529","The disruption of the COVID-19 pandemic crisis has triggered worldwide multiple environmental, social, political, and economic consequences. In the entrepreneurship domain, now it is the time for reimagining the relationship between people (employees, customers) and technology. This is very important in the Australasian area (Oceania countries, OC), which aspire to digital transformation and scalable green entrepreneurship (enjoying a broad range of social, cultural, and corporate programs and initiatives) whilst facing serious environmental, social, political, economic and governance problems. The disruptions brought by the COVID-19 pandemic crisis have made OC countries and a number of international and domestic companies think about increasing the resilience of their production through sustainable, green, and scalable investments and management (e.g. supply diversification, geographically closer to customers activities and delivery centers, shorter supply chains, smarter solutions, thoughtful initiatives, increased home production, smart scalable inventories, open governance, new technology transformation, adaptable management, trusted relations, etc.). In this article, we examine several green entrepreneurship perceptions and green investment initiatives should formed in the Australasian area just after the COVID-19 pandemic crisis, the factors that influenced these perceptions/initiatives, and the consequences should they had on the political, social, and economic dynamics in OC. This article is an empirical one as the data collection process was performed by specific designed questionaries and several person reviews to CEOs of about twenty (20) enterprises operating at the wider Oceanian area (greater Oceania). The main article’s objectives are the following: (i) to analyze how the OC economies could benefit from these initiatives after the COVID-19 pandemic crisis; and (ii) to form the suitable environmental, social, economic, and governance commitments. Findings and proposed entrepreneurship analysis is complemented, in Section 4, by a review of the environmental, social, and governance commitments (operating as nine “financing constraints” with great corporate finance functionalities), which should operate (in the post COVID-19 era) as economic reform by national authorities in Oceania countries, through specific financial support programmes/initiatives and various policy measures, mostly for small and medium-sized enterprises. For instance, four key findings were recorded in the commitment “Environmental issues”. The results of the presented research, as recommendations, were referred to the adoption of good and innovative practices for sustainable green entrepreneurship in OC. In particular, the relationship between people (employees, customers) and the new technology was discussed and documented, as well as the issue of “digital transformation in the OC entrepreneurship” by identified nine (9) commitments that fully or partially support green entrepreneurship; the concept of “team-work collaboration” (collaborative entrepreneurship and solutions); and the “geospatial optimization” initiative (e.g. geospatial optimization for delivery centers) were introduced, analyzed and documented. The major findings of the presented applied research are these nine (9) perceptions/commitments as they presented and documented in this article. Also, the impact and significant influence of these findings to international and local (Oceanian) companies is obvious -because of the scalable nature of these nine (9) restrictions- particularly in the green entrepreneurship domain and for those companies involved in a digital transformation process. Also, in order to support a scalable green entrepreneurship, in the post COVID-19 times, we propose new financial initiatives like the Australasia External Investment Plan (A-EIP) with its three pillars: The Australasia Fund for Sustainable Development (A-EFSD); The Australasia Fund for Sustainable Development Plus (EFSD+); and The Australasia Multiannual Financial Framework (A-MFF). Finally, the concept “team-work” and the terms “team Australasia” and “working better together” as they are related to a scalable green entrepreneurship in the post COVID-19 era are introduced and documented."
"Journal Article","Liñán F,Jaén I","The Covid-19 pandemic and entrepreneurship: some reflections","International Journal of Emerging Markets","2022","17","1165-1174","05 2022","","http://dx.doi.org/10.1108/IJOEM-05-2020-0491","10.1108/IJOEM-05-2020-0491","Purpose The Covid-19 pandemic has affected the world in an unprecedented manner. The economic recession in 2020 is expected to be the most serious since the Second World War. This study aims to analyse the likely consequences of the Covid-19 pandemic crisis on entrepreneurship and new venture activity. Design/methodology/approach The paper focuses first on the major shocks caused by the pandemic that may affect entrepreneurial activity. To do so, the authors briefly review the literature about the previous financial crisis and its effects on entrepreneurship. Then, the manuscript means to disentangle how these shocks will impinge on the different stages and motives within the entrepreneurial process. Findings This analysis reveals that the consequences of the pandemic for entrepreneurship will be generally damaging, but they may not be so tremendously negative as originally thought. We could initially expect a broad downturn in entrepreneurial activity. Soon after that, however, necessity entrepreneurship is likely to boom. At the same time, but to a lesser extent, high-potential entrepreneurial activity could also be fostered, provided the recovery is quick and there is sufficient support from the environment and institutions. Originality/value This is probably one of the first academic reflections on the likely effects of the Covid-19 pandemic on entrepreneurship. It specifically addresses the role of institutions and how they may differently affect necessity and opportunity entrepreneurship. It also suggests interesting related research areas and some basic recommendations on how to help entrepreneurs overcome it."
"Journal Article","Maldonado Castro J,Castro A,Gavilánez D,Guzmán Macías M","Post Pandemic Entrepreneurship Surge: Impact on Economic Growth","Centro Sur","2022","6","","10 2022","","http://dx.doi.org/10.37955/cs.v6i4.290","10.37955/cs.v6i4.290","The effect of the pandemic originated by Covid-19 has caused variation in the economy worldwide affecting various sectors, this has caused people to think of new ways to generate economy for their households and become entrepreneurs. The economic crisis and periods of high unemployment can push people towards self-employment due to the absence of other opportunities, an entrepreneurship is initiated, as a tactic to confront the challenges of economic and work components that arise throughout life, this has generated considerable importance due to the emergence of the pandemic. This research paper on the increase in post-pandemic entrepreneurship and its impact on economic growth seeks to conduct an analysis of the increase in post-pandemic entrepreneurship and how it has contributed to economic growth. For the development of this research the deductive methodology was used in addition to a documentary research by means of bibliographic analysis different stages of elaboration were reached. The virus called Covid-19 is causing damage to the economy worldwide, more acute than the economic crisis of 13 to 14 years ago due to the changes we had to go through, it is estimated a reduction of the economy for the region of 1.8% of GDP and 10.0%, regarding unemployment on average."
"Journal Article","Tripalupi R,Anggahegari P","Strengthening Entrepreneurship: Sharia Empowerment for MSMEs Amidst the Covid-19 Pandemic","International Journal of Entrepreneurship and Sustainability Studies","2022","2","73-89","12 2022","","http://dx.doi.org/10.31098/ijeass.v2i2.1228","10.31098/ijeass.v2i2.1228","This study aims to explain the strengthening of entrepreneurship based on sharia empowerment for micro, small and medium enterprises (MSMEs) in dealing with the impact of the Covid-19 pandemic. This research focuses on three things: 1) Indonesian MSMEs, 2) Moslem entrepreneurship, and 3) Sharia empowerment. Using qualitative approaches, descriptive methods, and exploratory analysis, this research tries to provide the rationale for strengthening MSMEs using the spectacle of sharia empowerment amidst the pandemic. Despite the halt of business operations in this pandemic, we found that many MSMEs, which are home-based businesses, have sprung up but need an empowerment process to survive and thrive. This condition is seen as a major challenge for sharia empowerment programs. This paper provides a conceptual framework to understand how sharia empowerment can strengthen the MSMEs. However, this research has some limitations, one of which is the inability to validate the findings directly; therefore, we encourage further research to cover these matters."
"Book Chapter","Shomoye Olusi A,Orekoya I,Adepeju-Orekoya Q,Akintimehin O","The Role of Social Entrepreneurship in Community Recovery and Development in the Post-COVID-19 Pandemic Period","","2023","","","02 2023","9783031042515","http://dx.doi.org/10.1007/978-3-031-04252-2_16","10.1007/978-3-031-04252-2_16","This chapter relies on a related logic when imagining the concept and role of social entrepreneurship in community recovery and development in the post-COVID-19 pandemic period. The first confirmed case in Nigeria, the country of the authors’ analysis, was announced on February 27, 2020. Since then, the number of identified cases has risen rapidly to 52,000. This has affected the economic activities of the country that recently came out of recession. The challenges Nigeria faces are to revive the economy and to reduce persistent unemployment and poverty levels, which impact the country’s micro-economic and macro-economic activities negatively. Overcoming these challenges requires a refocus on the role of social entrepreneurship in job creation, the improvement of the standard of living, a reduction in the poverty level as well as an increase in social growth and development, as entrepreneurship has been recognized as a key ingredient for economic growth and development. This refocusing was demonstrated by discussing how social entrepreneurship and humanism can make a positive contribution to the micro and macro growth of the community and of the nation at large. Reviews of recent and relevant literatures on the predictor and criterion variables revealed that social entrepreneurship leads to improved welfare of the society. The improved welfare of society adjusts to the pressing needs of the people by providing various packages of solutions for the problems that the people experience, as the provision of solutions is an important aid to improved economic standardization. Moreover, it is obvious that the solution to this global challenge lies in human support and human actions in this global trying time."
"Journal Article","Bapat G,Chitnis R,Pasumarti S","The state of ""Innovation"" and ""Entrepreneurship"" in India -A Post Pandemic Bibliometric Analysis","","2022","","6820-6826","07 2022","","","","Indeed"
"Journal Article","Kang P,Guo L,Lu Z,Zhu L","Evaluation of the early-stage entrepreneurship activity in the United States during the COVID-19 pandemic","Frontiers in Public Health","2022","10","","09 2022","","http://dx.doi.org/10.3389/fpubh.2022.972203","10.3389/fpubh.2022.972203","This paper examines the effects of the COVID-19 pandemic (measured by total cases and deaths per 100K people) on the early-stage entrepreneurship activity (measured by the Kauffman Early-Stage Entrepreneurship indicators) in the United States. The empirical analyses are based on the panel dataset of 51 States between 2020 and 2021. The findings show that the COVID-19 pandemic negatively affects early-stage entrepreneurship activity. Further analyses indicate the positive impact of the COVID-19 pandemic on the startup's early survival rate. However, new entrepreneurs' rate and opportunity share are negatively affected by the COVID-19 pandemic. Implications for the post-COVID-19 era are also discussed."
